day;hour;wind_dir;speed;temp;details;scenario;radiation;precip
01/01/2017;00h00;85;3.4;10.7;mesure;S1;0;0
01/01/2017;00h15;87;2.5;10.6;mesure;S1;0;0
01/01/2017;00h30;86;3.2;10.4;mesure;S1;0;0
01/01/2017;00h45;109;4;10.8;mesure;S1;0;0
01/01/2017;01h00;98;4;10.8;mesure;S1;0;0
01/01/2017;01h15;96;3.4;10.8;mesure;S1;0;0
01/01/2017;01h30;102;4.4;10.1;mesure;S1;0;0
01/01/2017;01h45;95;4.8;9.7;mesure;S1;0;0
01/01/2017;02h00;99;4.7;9.7;mesure;S1;0;0
01/01/2017;02h15;92;4.9;9.6;mesure;S1;0;0
01/01/2017;02h30;104;4.2;9.8;mesure;S1;0;0
01/01/2017;02h45;103;4.2;9.6;mesure;S1;0;0
01/01/2017;03h00;100;4.4;9.1;mesure;S1;0;0
01/01/2017;03h15;104;4.6;9.2;mesure;S1;0;0
01/01/2017;03h30;85;4.9;9.4;mesure;S1;0;0
01/01/2017;03h45;89;4.9;9.4;mesure;S1;0;0
01/01/2017;04h00;98;4.7;9.4;mesure;S1;0;0
01/01/2017;04h15;90;4.6;9.4;mesure;S1;0;0
01/01/2017;04h30;99;3.9;9.4;mesure;S1;0;0
01/01/2017;04h45;94;3.5;9.5;mesure;S1;0;0
01/01/2017;05h00;89;4.1;9.2;mesure;S1;0;0
01/01/2017;05h15;92;3.8;8.9;mesure;S1;0;0
01/01/2017;05h30;111;3.6;9.1;mesure;S2;0;0
01/01/2017;05h45;103;4.1;8.6;mesure;S1;0;0
01/01/2017;06h00;102;3.9;8.4;mesure;S2;0;0
01/01/2017;06h15;106;4;8.2;mesure;S1;0;0
01/01/2017;06h30;107;4.3;8.2;mesure;S1;0;0
01/01/2017;06h45;102;4.2;8.5;mesure;S1;0;0
01/01/2017;07h00;104;3.8;8.9;mesure;S2;0;0
01/01/2017;07h15;85;2.1;8.5;mesure;S1;0;0
01/01/2017;07h30;92;3;8.6;mesure;S1;0;0
01/01/2017;07h45;101;2.4;8.4;mesure;S1;2;0
01/01/2017;08h00;94;3.6;8.4;mesure;S1;7;0
01/01/2017;08h15;95;3.8;8.8;mesure;S1;14;0
01/01/2017;08h30;92;3.4;9.1;mesure;S1;28;0
01/01/2017;08h45;89;3.7;9.4;mesure;S1;50;0
01/01/2017;09h00;97;2.4;9.9;mesure;S1;84;0
01/01/2017;09h15;83;3.1;10.2;mesure;S1;122;0
01/01/2017;09h30;106;1.8;11.3;mesure;S2;163;0
01/01/2017;09h45;77;1.1;12.1;mesure;S1;195;0
01/01/2017;10h00;112;1.3;13.2;mesure;S2;246;0
01/01/2017;10h15;158;0.2;14.4;mesure;S4;196;0
01/01/2017;10h30;268;1.2;14.3;mesure;S2;192;0
01/01/2017;10h45;318;0.9;14.2;mesure;S2;330;0
01/01/2017;11h00;305;0.8;14.9;mesure;S2;350;0
01/01/2017;11h15;283;1.7;15.5;mesure;S2;368;0
01/01/2017;11h30;243;1.7;15.7;mesure;S2;382;0
01/01/2017;11h45;263;1.9;16;mesure;S2;398;0
01/01/2017;12h00;255;2.1;16.4;mesure;S2;388;0
01/01/2017;12h15;265;2.5;16.5;mesure;S2;418;0
01/01/2017;12h30;252;2.5;17;mesure;S2;422;0
