date,cycle,Wind direction,Wind speed (m/s),temperature (ｰC),irradiance (W/m2),Rain (mm/h)
1/1/20 0:00,01/01/2020 00h,144.000210589962,0.9133706123352,8.91994628906252,0,0
1/1/20 0:00,31/12/2019 12h,145.037863281767,1.29953259355377,8.75008544921877,0,0
1/1/20 0:00,31/12/2019 00h,135.952036969561,1.07630596979863,9.02007446289065,0,0
1/1/20 0:00,30/12/2019 12h,128.561086626707,1.29228537665256,9.48000488281252,0,0
1/1/20 0:00,30/12/2019 00h,136.181534755126,1.27965482547069,9.23000488281252,0,0
1/1/20 1:00,01/01/2020 00h,142.368460967309,1.41048401227473,8.55999145507815,0,0
1/1/20 1:00,31/12/2019 12h,146.514691445011,1.63103982873924,8.5201354980469,0,0
1/1/20 1:00,31/12/2019 00h,136.097419085718,1.42134040014543,8.80999145507815,0,0
1/1/20 1:00,30/12/2019 12h,127.023151183179,1.6615125943764,9.31014404296877,0,0
1/1/20 2:00,01/01/2020 00h,134.917513643606,1.45508756771791,8.25994262695315,0,0
1/1/20 2:00,31/12/2019 12h,143.902091818527,1.78789852340197,8.32000122070315,0,0
1/1/20 2:00,31/12/2019 00h,135.629107027859,1.68420393791892,8.67000732421877,0,0
1/1/20 2:00,30/12/2019 12h,127.236448366389,1.96433901300551,9.17995605468752,0,0
1/1/20 3:00,01/01/2020 00h,132.02470275541,1.50784188408239,8.05019531250002,0,0
1/1/20 3:00,31/12/2019 12h,146.121178812405,1.8486391852381,8.11000976562502,0,0
1/1/20 3:00,31/12/2019 00h,133.817954420971,2.007502801476,8.59990844726565,0,0
1/1/20 3:00,30/12/2019 12h,126.478050357661,2.10673577156431,9.06987915039065,0,0
1/1/20 4:00,01/01/2020 00h,134.988453831672,1.52723508826346,7.80996093750002,0,0
1/1/20 4:00,31/12/2019 12h,146.736734085703,1.85826964542243,7.89006958007815,0,0
1/1/20 4:00,31/12/2019 00h,130.615950206669,2.15469371615006,8.52984008789065,0,0
1/1/20 4:00,30/12/2019 12h,126.833987059386,2.16858727673074,8.92995605468752,0,0
1/1/20 5:00,01/01/2020 00h,132.146486216229,1.44232710453058,7.57000122070315,0,0
1/1/20 5:00,31/12/2019 12h,144.15713936787,1.78144443187783,7.6700378417969,0,0
1/1/20 5:00,31/12/2019 00h,127.574645180552,2.10591786404526,8.37005004882815,0,0
1/1/20 5:00,30/12/2019 12h,127.291683066341,2.13941433712875,8.73995361328127,0,0
