day;hour;wind_dir;speed;temp;details;scenario;radiation;precip
01/01/2018;00h00;105;5;15.4;mesure;S1;0;0
01/01/2018;00h15;80;4.8;15.6;mesure;S1;0;0
01/01/2018;00h30;88;4.5;15.6;mesure;S1;0;0
01/01/2018;00h45;92;5.4;15.8;mesure;S1;0;0
01/01/2018;01h00;91;5.9;15.9;mesure;S1;0;0
01/01/2018;01h15;96;6.3;15.9;mesure;S1;0;0
01/01/2018;01h30;103;6.9;15.9;mesure;S1;0;0
01/01/2018;01h45;98;7.7;15.6;mesure;S1;0;0
01/01/2018;02h00;104;7.8;15.6;mesure;S1;0;0
01/01/2018;02h15;104;8.1;15.8;mesure;S1;0;0
01/01/2018;02h30;93;8.4;16.1;mesure;S1;0;0
01/01/2018;02h45;94;9.1;16.1;mesure;S1;0;0
01/01/2018;03h00;91;7.7;15.8;mesure;S1;0;0
01/01/2018;03h15;110;7.4;15.6;mesure;S1;0;0
01/01/2018;03h30;113;7.3;15.4;mesure;S1;0;0
01/01/2018;03h45;103;6.3;15.2;mesure;S1;0;0
01/01/2018;04h00;106;6;14.9;mesure;S1;0;0
01/01/2018;04h15;111;6.8;14.9;mesure;S1;0;0
01/01/2018;04h30;110;6.8;14.8;mesure;S1;0;0
01/01/2018;04h45;102;6.4;14.7;mesure;S1;0;0
01/01/2018;05h00;107;6.4;14.5;mesure;S1;0;0
01/01/2018;05h15;118;6.4;14.2;mesure;S1;0;0
01/01/2018;05h30;103;5.7;14.1;mesure;S1;0;0
01/01/2018;05h45;112;6;14;mesure;S1;0;0
01/01/2018;06h00;116;6.3;13.8;mesure;S1;0;0
01/01/2018;06h15;113;5.9;13.7;mesure;S1;0;0
01/01/2018;06h30;110;6.2;13.6;mesure;S1;0;0
01/01/2018;06h45;99;6.9;13.3;mesure;S1;0;0
01/01/2018;07h00;102;6.4;13.1;mesure;S1;0;0
01/01/2018;07h15;114;6.6;12.9;mesure;S1;0;0
01/01/2018;07h30;105;6.1;12.6;mesure;S1;0;0
01/01/2018;07h45;118;6.3;12.6;mesure;S1;2;0
