heure;minute;direction;vitesse;temperature;details;scenario;scenario_couleur;rayonnement;precip
00;00;54;4.1;19;DMN;S1;#00FF00;0;0
01;00;52;4.1;18.7;DMN;S1;#00FF00;0;0
02;00;50;4.4;18.3;DMN;S1;#00FF00;0;0
03;00;48;4.6;18;DMN;S1;#00FF00;0;0
04;00;51;4.7;17.9;DMN;S1;#00FF00;0;0
05;00;54;4.9;18.2;DMN;S1;#00FF00;0;0
06;00;55;5;18.4;DMN;S1;#00FF00;0;0
07;00;53;5;19.1;DMN;S1;#00FF00;135;0
08;00;53;5.1;20.7;DMN;S1;#00FF00;332;0
09;00;53;4.9;23;DMN;S1;#00FF00;525;0
10;00;48;4.6;25.6;DMN;S1;#00FF00;694;0
11;00;38;4.6;28;DMN;S1;#00FF00;824;0
