cos_wind_dir,f_period,datetime,present_time,sin_wind_dir,pred_speed,pred_wind_dir,numtech_speed,numtech_wind_dir
-0.7722954750061035,1.0,2020-11-25 11:00:00,2020-11-25 10:00:00,-0.02600342035293579,5.3386311531066895,219.43952962539754,5.8,228.99999999999994
-0.6230928897857666,2.0,2020-11-25 12:00:00,2020-11-25 10:00:00,-0.5338588953018188,5.453459739685059,231.45765286940386,7.2,233.0
-0.4635775685310364,3.0,2020-11-25 13:00:00,2020-11-25 10:00:00,-0.8393113613128662,6.340178966522217,242.38179648939757,8.3,235.0
-0.5488135814666748,4.0,2020-11-25 14:00:00,2020-11-25 10:00:00,-0.8164852857589722,7.150030612945557,236.71434228186024,8.9,233.0
-0.4910282492637634,5.0,2020-11-25 15:00:00,2020-11-25 10:00:00,-0.8464376926422119,7.476646423339844,240.59181215636625,9.4,233.0
-0.6450943946838379,6.0,2020-11-25 16:00:00,2020-11-25 10:00:00,-0.8569096326828003,7.7614216804504395,229.827246773094,9.2,234.0
-0.46143537759780884,7.0,2020-11-25 17:00:00,2020-11-25 10:00:00,-0.8282701969146729,6.019312381744385,242.52023135501327,7.9,238.0
-0.06085580587387085,8.0,2020-11-25 18:00:00,2020-11-25 10:00:00,-0.9173831939697266,4.67644739151001,266.5110633956685,5.0,257.0
-0.05034148693084717,9.0,2020-11-25 19:00:00,2020-11-25 10:00:00,-0.8493150472640991,4.941108226776123,267.1144255863026,5.2,269.0
-0.005350589752197266,10.0,2020-11-25 20:00:00,2020-11-25 10:00:00,-0.8797594308853149,5.343972206115723,269.6934323265033,6.0,279.0
-0.007272481918334961,11.0,2020-11-25 21:00:00,2020-11-25 10:00:00,-0.6916576623916626,5.056046485900879,269.5833138064203,5.4,274.0
-0.3187110424041748,12.0,2020-11-25 22:00:00,2020-11-25 10:00:00,-0.6387172937393188,4.23170280456543,251.41500790519078,4.8,264.0
-0.23839807510375977,13.0,2020-11-25 23:00:00,2020-11-25 10:00:00,-0.6868088245391846,4.724350929260254,256.2079872699526,5.2,262.0
-0.18619304895401,14.0,2020-11-26 00:00:00,2020-11-25 10:00:00,-0.7437299489974976,3.6724486351013184,259.26930230295005,4.2,246.0
-0.01307225227355957,15.0,2020-11-26 01:00:00,2020-11-25 10:00:00,-0.649848222732544,3.7414908409118652,269.25099378279293,4.2,252.0
-0.02097409963607788,16.0,2020-11-26 02:00:00,2020-11-25 10:00:00,-0.6030871868133545,5.012178897857666,268.798184485098,6.2,271.0
-0.22338062524795532,17.0,2020-11-26 03:00:00,2020-11-25 10:00:00,-0.8722915649414062,5.460982322692871,257.09232864091507,6.2,263.0
-0.19236540794372559,18.0,2020-11-26 04:00:00,2020-11-25 10:00:00,-0.5848898887634277,4.96075963973999,258.90914100959816,5.5,261.0
