sin_wind_dir,dangerous_proba,dangerous,cos_wind_dir,speed,scenario,true,baseline,dangerous_indirect
0.800914795672866,8.633333655721833e-09,0.0,0.7494965338310648,3.1124230041461898,1.0,0.0,0.0,0
0.7982729676232994,4.240150326905977e-08,0.0,0.8051289621859173,2.8413818579423404,1.0,0.0,0.0,0
0.8428780070673865,7.996735655628957e-09,0.0,0.6881284475398969,2.8768049387929464,1.0,0.0,0.0,0
0.857215692854076,1.6159266569662423e-07,0.0,0.5824533666673435,2.5937505868557986,1.0,0.0,0.0,0
0.8242351588072282,7.678330557135388e-07,0.0,0.5331655528574968,2.897651529597117,1.0,0.0,0.0,0
0.857863454282975,0.006094275652395905,0.0,0.4733982712201561,4.093655270243963,1.0,0.0,0.0,0
0.761699306120073,1.536529081648557e-13,0.0,0.4926577299317523,5.104028492531085,1.0,0.0,0.0,0
0.586007479248255,2.253821548131517e-17,0.0,0.6841492211287254,4.881429561235633,1.0,0.0,0.0,0
0.5997101575195716,4.574686108894035e-12,0.0,0.6470215841744464,4.370348760015001,1.0,0.0,0.0,0
-0.13431717989761066,4.553256178420849e-25,0.0,0.6934033156891646,5.113364559225337,1.0,0.0,0.0,0
-0.5351477590039817,1.0454958072522338e-29,0.0,0.6935093046291654,6.795278431272674,1.0,0.0,0.0,0
-0.4890046549900117,4.654773850490511e-32,0.0,0.6837739979170732,7.8388393450498945,1.0,0.0,0.0,0
-0.39897831285020674,8.709883544462336e-34,0.0,0.638487708941776,7.719088484147169,1.0,0.0,0.0,0
-0.37097872110475,2.246272601784979e-36,0.0,0.642809008188033,7.217754710278393,1.0,0.0,0.0,0
-0.3127024093187181,5.889680139292553e-32,0.0,0.6232100121305836,6.33952559547304,1.0,0.0,0.0,0
-0.20423637638283082,2.625464079628034e-26,0.0,0.6953819301675167,6.075742755764274,1.0,0.0,0.0,0
-0.05743833903139088,4.877826825967496e-17,0.0,0.6158401885986222,5.665958827152506,1.0,0.0,0.0,0
0.2648715651231031,4.2984914206204743e-16,0.0,0.7820085233544799,5.40753822317282,1.0,0.0,0.0,0
0.2848747769805097,2.2173105225823343e-11,0.0,0.814644301014914,4.8770500759833615,1.0,0.0,0.0,0
0.5730191033965923,2.1591812589992509e-10,0.0,0.7600730086388917,5.083058686987417,1.0,0.0,0.0,0
0.7846154433271542,1.0217289097890328e-10,0.0,0.7277388990602252,5.17559501809187,1.0,0.0,0.0,0
0.7767955151229093,4.8360851041238336e-08,0.0,0.6144247405062706,5.109813769598059,1.0,0.0,0.0,0
0.8778252708797326,1.9353605791855823e-06,0.0,0.5574048179183384,4.0920156111697,1.0,0.0,0.0,0
0.8261168842689651,4.884989495786475e-08,0.0,0.5718403852978426,3.534422476769903,1.0,0.0,0.0,0
0.8938856364328357,1.4235105073537298e-08,0.0,0.6331205527285635,3.3874257008702067,1.0,0.0,0.0,0
0.8488236645791015,1.1042892212417527e-06,0.0,0.735418553864915,3.491386258398303,1.0,0.0,0.0,0
0.9311464746231886,2.8537172922282135e-06,0.0,0.6040359124114006,3.2776376169031263,1.0,0.0,0.0,0
0.8634845556541394,0.0003801301320776712,0.0,0.5269535515765683,2.9168744275576275,1.0,0.0,0.0,0
