base_angle_mae,base_binary_accu,base_binary_auc,base_scenario_accu,base_speed_mae,past_n_steps,pred_n_steps,xbg_binary_accu,xbg_binary_auc,xbg_speed_mae,xgb_angle_mae,xgb_scenario_accu
43.752590795093525,0.941,0.57,0.77,1.0690388819007672,48,1,0.979,0.843,0.4575934627193539,18.230966387435664,0.876
43.752590795093525,0.941,0.57,0.77,1.0690388819007672,48,3,0.977,0.806,0.670583767255128,26.133881158840573,0.839
43.757567411993,0.941,0.57,0.77,1.0688873933783272,48,6,0.975,0.748,0.7004184448013434,27.137290272350132,0.831
43.693152985474825,0.942,0.574,0.769,1.0757130975087372,48,9,0.974,0.662,0.7173968015792784,27.24838613806897,0.824
43.85910752335151,0.942,0.575,0.77,1.0783138807031631,48,12,0.976,0.799,0.7147596163354643,27.537161274105888,0.824
43.87421618114555,0.944,0.577,0.77,1.08810396243776,48,15,0.974,0.683,0.7288766245230353,27.964897498483662,0.822
43.92608128937594,0.944,0.576,0.769,1.0999891462903244,48,18,0.972,0.585,0.7290915047908667,28.53796361113377,0.822
44.21241911021989,0.942,0.564,0.765,1.1082453181924496,48,21,0.972,0.649,0.7180109100207044,28.72968212721078,0.821
44.43150751963883,0.941,0.565,0.764,1.1076360137074996,48,24,0.973,0.655,0.7294396013530202,29.323968151867792,0.817
44.2977628924249,0.939,0.568,0.76,1.1100314226368548,48,27,0.974,0.719,0.7343090107648846,29.482407057873623,0.82
44.46688849139296,0.934,0.564,0.755,1.122436244696251,48,30,0.974,0.719,0.7373030814533615,29.89876607719042,0.818
44.77673432207808,0.929,0.564,0.75,1.1312582796197448,48,33,0.973,0.664,0.7499791820039619,30.753886931130037,0.814
44.80519388648596,0.925,0.56,0.744,1.1470291641607122,48,36,0.974,0.654,0.7642439751441431,30.691613150374558,0.818
51.985333327954486,0.771,0.514,0.62,1.6474931192281228,48,39,0.974,0.688,0.8304013872834871,34.60620174161161,0.812
61.643486776650164,0.543,0.505,0.434,2.3559813204287043,48,42,0.975,0.769,0.9145482014782843,40.318554277254925,0.799
68.0079230415453,0.322,0.505,0.253,2.941698119820174,48,45,0.974,0.63,1.0008450612313755,48.215583180490455,0.794
74.70571731026682,0.101,0.507,0.076,3.5626807871098336,48,48,0.975,0.654,1.0896904786343975,56.12819600795032,0.783
