base_angle_mae,base_binary_accu,base_binary_auc,base_scenario_accu,base_speed_mae,past_n_steps,pred_n_steps,xbg_binary_accu,xbg_binary_auc,xbg_speed_mae,xgb_angle_mae,xgb_scenario_accu
43.77020849249619,0.941,0.57,0.769,1.0685415125402495,72,1,0.978,0.823,0.466834900434636,18.230791769606533,0.873
43.77349624943401,0.941,0.57,0.769,1.0685759934226873,72,3,0.976,0.798,0.6752781256030188,25.792199558081656,0.841
43.77349624943401,0.941,0.57,0.769,1.0685759934226873,72,6,0.974,0.731,0.7195489636939041,27.017431035824572,0.827
43.71209578509238,0.942,0.574,0.769,1.0754757247047682,72,9,0.974,0.705,0.7229381134976555,27.891597044485017,0.826
43.87653781024543,0.942,0.575,0.77,1.0782599375641382,72,12,0.974,0.731,0.7279214359044248,27.958516658262212,0.825
43.891655369098615,0.944,0.577,0.77,1.0880557869915206,72,15,0.973,0.689,0.7307122216179942,27.985798446751602,0.822
43.94204827717363,0.944,0.576,0.768,1.1001561599774659,72,18,0.975,0.739,0.7198228036228107,28.761742378187414,0.823
44.22480141961864,0.942,0.564,0.765,1.108531072382186,72,21,0.973,0.644,0.7411679446464994,28.977893903871376,0.82
44.44713219444672,0.941,0.565,0.764,1.1080424651968013,72,24,0.973,0.67,0.7301620381420351,29.09237333515995,0.82
44.31495298520849,0.939,0.568,0.76,1.1103414364408606,72,27,0.973,0.686,0.7422521412043573,29.59999807602669,0.817
44.484178257443276,0.934,0.564,0.755,1.122753569215756,72,30,0.973,0.658,0.7517354751675576,29.952993342858335,0.815
44.79579997008851,0.929,0.564,0.749,1.13135568518359,72,33,0.973,0.583,0.7582789197536746,30.333920140988873,0.813
44.82133297187042,0.925,0.56,0.744,1.1470725587919324,72,36,0.975,0.788,0.7657818714090512,30.45889963073364,0.813
52.00691625742766,0.771,0.514,0.62,1.6470609515901309,72,39,0.974,0.682,0.8535926521946613,34.78866239656214,0.809
61.66373665984762,0.544,0.505,0.435,2.3556753313474807,72,42,0.974,0.666,0.9132329650983784,41.081268484574615,0.793
68.0319250979917,0.322,0.505,0.253,2.9417374419047277,72,45,0.975,0.738,1.0197695372299294,48.552615186832945,0.787
74.73555489111544,0.101,0.507,0.076,3.5631923913475165,72,48,0.974,0.63,1.107367979016532,57.86454038076665,0.766
