speed,dangerous,sin_wind_dir,dangerous_proba,scenario,cos_wind_dir,true,baseline,dangerous_indirect
3.3592734,0.0,0.8063406,0.002143086,1.0,0.5540449,0.0,0.0,0
3.4306283,0.0,0.7830064,0.0020604518,1.0,0.60705024,0.0,0.0,0
3.4019933,0.0,0.7879916,0.0021683346,1.0,0.49578294,0.0,0.0,0
3.5533235,0.0,0.7784914,0.00247782,1.0,0.5456553,0.0,0.0,0
4.1755366,0.0,0.7651564,0.009271359,1.0,0.56131166,0.0,0.0,0
4.2149496,0.0,0.79933435,0.005804802,1.0,0.5902798,0.0,0.0,0
3.82279,0.0,0.52363646,0.0073008183,1.0,0.7094525,0.0,0.0,0
4.4987235,0.0,0.26484716,0.0010351721,1.0,0.7655856,0.0,0.0,0
5.082336,0.0,-0.27026796,0.00024046376,1.0,0.80586255,0.0,0.0,0
7.408259,0.0,-0.40296596,0.0004672759,1.0,0.85713124,0.0,0.0,0
7.6793704,0.0,-0.49104533,0.000302599,1.0,0.8819702,0.0,0.0,0
7.423545,0.0,-0.61761975,0.00017378888,1.0,0.85799277,0.0,0.0,0
7.495461,0.0,-0.602789,0.0002462711,1.0,0.8552109,0.0,0.0,0
6.6477675,0.0,-0.5529593,0.00021674152,1.0,0.8895242,0.0,0.0,0
5.691111,0.0,-0.24108069,0.00022956185,1.0,0.9032746,0.0,0.0,0
5.368174,0.0,0.04586741,0.00023791935,1.0,0.90253234,0.0,0.0,0
5.591169,0.0,0.17438146,0.0003387943,1.0,0.8285706,0.0,0.0,0
5.158293,0.0,0.48844358,0.0013988587,1.0,0.86715424,0.0,0.0,0
5.1164875,0.0,0.50374013,0.0010778271,1.0,0.77947956,0.0,0.0,0
4.9217606,0.0,0.648149,0.0019106641,1.0,0.682387,0.0,0.0,0
4.561373,0.0,0.7546379,0.0016496612,1.0,0.66211224,0.0,0.0,0
4.3897123,0.0,0.7601679,0.0017323805,1.0,0.6421286,0.0,0.0,0
4.0145707,0.0,0.7829403,0.0008991735,1.0,0.570349,0.0,0.0,0
3.8022914,0.0,0.7647971,0.00073945767,1.0,0.59595525,0.0,0.0,0
