base_angle_mae,base_scenario_accu,base_speed_mae,past_n_steps,pred_n_steps,xbg_speed_mae,xgb_angle_mae,xgb_scenario_accu
42.5303079094103,0.778,0.9944959405074771,48,1,0.5063516092662238,20.34994030017762,0.865
42.5303079094103,0.778,0.9944959405074771,48,3,0.6894550033113294,26.64405771998271,0.833
42.53453623812209,0.778,0.9943563061809364,48,6,0.7121263732188775,27.41951086929745,0.833
42.46844931487531,0.777,1.0002047487344778,48,9,0.7292993702001288,27.34834031810142,0.828
42.57213569790785,0.778,1.0031041324586478,48,12,0.726178816660795,27.8146450173078,0.825
42.81349706970958,0.777,1.0148102839795756,48,15,0.7345341885936236,28.756667177071762,0.825
42.802248201817484,0.776,1.0267889456153818,48,18,0.7432842347516613,28.744308894568608,0.826
43.258261151867,0.775,1.0370837342187462,48,21,0.741360613155974,31.5056802309052,0.81
43.63059214022821,0.773,1.0384515769621532,48,24,0.7479081545523791,30.25271868497705,0.818
43.6948375151325,0.769,1.041823236473369,48,27,0.7902471739662957,30.850811530923092,0.821
43.769804943107985,0.765,1.055163189090444,48,30,0.7890165514455207,31.982869938556874,0.814
44.07425311408846,0.759,1.0646636440855737,48,33,0.774530962458499,31.988797460041205,0.811
44.02947681250598,0.755,1.0802116011035499,48,36,0.8638575951144102,34.37021495208952,0.813
51.20636177532525,0.63,1.5641700326539283,48,39,0.9451771082578514,37.97783251963811,0.805
60.69816088659191,0.439,2.3112804852691964,48,42,1.1053347278059296,48.969234372102136,0.805
67.0823068481784,0.26,2.93219761747387,48,45,1.3579963867993563,69.12427936270645,0.808
74.59715017558553,0.075,3.5619489413436183,48,48,1.4558674256664246,73.30720039445056,0.8
