day;hour;wind_dir;speed;temp;details;scenario;radiation;precip
01/07/2018;00h00;27;1.9;20.9;mesure;S1;0;0
01/07/2018;00h15;38;1.4;20.8;mesure;S1;0;0
01/07/2018;00h30;58;1.5;21;mesure;S1;0;0
01/07/2018;00h45;113;1.5;21;mesure;S2b;0;0
01/07/2018;01h00;108;1.4;20.7;mesure;S2b;0;0
01/07/2018;01h15;106;1.6;20.6;mesure;S2b;0;0
01/07/2018;01h30;103;1.5;20.5;mesure;S2b;0;0
01/07/2018;01h45;112;1.8;20.5;mesure;S2b;0;0
01/07/2018;02h00;109;1.8;20.4;mesure;S2b;0;0
01/07/2018;02h15;98;1.6;20.3;mesure;S1;0;0
01/07/2018;02h30;77;1.5;20.2;mesure;S1;0;0
01/07/2018;02h45;51;1.4;20.2;mesure;S1;0;0
01/07/2018;03h00;69;1.6;20.2;mesure;S1;0;0
01/07/2018;03h15;116;1;20;mesure;S2b;0;0
01/07/2018;03h30;103;1.5;20;mesure;S2b;0;0
01/07/2018;03h45;99;1.2;20;mesure;S1;0;0
01/07/2018;04h00;90;0.7;20;mesure;S2;0;0
01/07/2018;04h15;131;1.1;19.9;mesure;S2b;0;0
01/07/2018;04h30;138;1.8;19.8;mesure;S2b;0;0
01/07/2018;04h45;134;2.1;19.7;mesure;S2;0;0
01/07/2018;05h00;124;1.8;19.6;mesure;S2b;0;0
01/07/2018;05h15;124;1.9;19.5;mesure;S2b;0;0
01/07/2018;05h30;129;2;19.4;mesure;S2;1;0
01/07/2018;05h45;117;1.8;19.1;mesure;S2b;3;0
01/07/2018;06h00;108;1.8;19;mesure;S2b;10;0
01/07/2018;06h15;123;1.7;18.9;mesure;S2b;20;0
01/07/2018;06h30;118;1.9;19;mesure;S2b;37;0
01/07/2018;06h45;108;1.6;19.2;mesure;S2b;67;0
01/07/2018;07h00;130;1.7;19.5;mesure;S2b;113;0
01/07/2018;07h15;128;1.9;20;mesure;S2b;164;0
01/07/2018;07h30;89;1.9;20.7;mesure;S1;224;0
01/07/2018;07h45;80;1.9;21.3;mesure;S1;279;0
01/07/2018;08h00;80;2.1;21.7;mesure;S1;327;0
01/07/2018;08h15;106;2.2;22.2;mesure;S2;373;0
01/07/2018;08h30;98;1.8;22.5;mesure;S1;396;0
01/07/2018;08h45;74;0.6;22.7;mesure;S2;474;0
01/07/2018;09h00;30;0.5;22.9;mesure;S2;525;0
01/07/2018;09h15;335;0.7;23.4;mesure;S2;551;0
01/07/2018;09h30;317;2.3;23.2;mesure;S1;589;0
01/07/2018;09h45;307;2.9;22.9;mesure;S1;640;0
01/07/2018;10h00;326;5.3;22.3;mesure;S1;540;0
01/07/2018;10h15;320;4.7;22.7;mesure;S1;706;0
01/07/2018;10h30;322;5.6;22.9;mesure;S1;736;0
01/07/2018;10h45;335;5.5;23.1;mesure;S1;773;0
