day;hour;wind_dir;speed;temp;details;scenario;radiation;precip
01/01/2016;21h45;88;3.4;12.9;mesure;S1;0;0
01/01/2016;22h00;79;3.1;12.8;mesure;S1;0;0
01/01/2016;22h15;82;3.2;12.7;mesure;S1;0;0
01/01/2016;22h30;91;3;12.5;mesure;S1;0;0
01/01/2016;22h45;96;3.1;12.3;mesure;S1;0;0
01/01/2016;23h00;95;3.2;12.2;mesure;S1;0;0
01/01/2016;23h15;90;3;12.1;mesure;S1;0;0
01/01/2016;23h30;90;3.2;12.1;mesure;S1;0;0
01/01/2016;23h45;89;3.5;11.6;mesure;S1;0;0
02/01/2016;00h00;88;3.4;11.3;mesure;S1;0;0
02/01/2016;00h15;99;4;11.3;mesure;S1;0;0
02/01/2016;00h30;91;3.7;11.4;mesure;S1;0;0
02/01/2016;00h45;101;4.1;11.3;mesure;S1;0;0
02/01/2016;01h00;92;3.9;11.1;mesure;S1;0;0
02/01/2016;01h15;86;3.7;11.2;mesure;S1;0;0
02/01/2016;01h30;90;4;11.1;mesure;S1;0;0
02/01/2016;01h45;81;3.9;10.9;mesure;S1;0;0
02/01/2016;02h00;82;3.7;10.9;mesure;S1;0;0
02/01/2016;02h15;82;3.8;10.7;mesure;S1;0;0
02/01/2016;02h30;93;4.2;10.7;mesure;S1;0;0
02/01/2016;02h45;84;3.9;10.7;mesure;S1;0;0
02/01/2016;03h00;85;4.5;10.6;mesure;S1;0;0
02/01/2016;03h15;89;4.4;10.4;mesure;S1;0;0
02/01/2016;03h30;90;4.6;10.5;mesure;S1;0;0
02/01/2016;03h45;81;4.7;10.2;mesure;S1;0;0
02/01/2016;04h00;80;4.4;10.1;mesure;S1;0;0
02/01/2016;04h15;87;4.4;10.1;mesure;S1;0;0
02/01/2016;04h30;93;4.3;10.1;mesure;S1;0;0
02/01/2016;04h45;80;4.6;9.6;mesure;S1;0;0
02/01/2016;05h00;85;4.9;9.7;mesure;S1;0;0
02/01/2016;05h15;91;4.8;10.1;mesure;S1;0;0
02/01/2016;05h30;85;4.7;9.9;mesure;S1;0;0
02/01/2016;05h45;90;4.4;10.2;mesure;S1;0;0
02/01/2016;06h00;82;4.2;10;mesure;S1;0;0
02/01/2016;06h15;79;4.8;9.7;mesure;S1;0;0
02/01/2016;06h30;88;5.2;9.6;mesure;S1;0;0
02/01/2016;06h45;91;4.3;9.5;mesure;S1;0;0
02/01/2016;07h00;76;4.5;9.5;mesure;S1;0;0
02/01/2016;07h15;84;5;9.1;mesure;S1;0;0
02/01/2016;07h30;82;4.6;9;mesure;S1;0;0
02/01/2016;07h45;85;4.9;9.1;mesure;S1;4;0
02/01/2016;08h00;78;5;8.8;mesure;S1;11;0
02/01/2016;08h15;81;5.3;8.7;mesure;S1;25;0
02/01/2016;08h30;85;4.8;8.9;mesure;S1;44;0
02/01/2016;08h45;93;4.9;9;mesure;S1;76;0
02/01/2016;09h00;86;4.6;9.8;mesure;S1;113;0
02/01/2016;09h15;89;4.6;10.5;mesure;S1;161;0
