day;hour;wind_dir;speed;temp;details;scenario;radiation;precip
01/07/2017;00h00;86;7.4;23.2;mesure;S1;0;0
01/07/2017;00h15;81;7.4;23;mesure;S1;0;0
01/07/2017;00h30;86;6.8;22.9;mesure;S1;0;0
01/07/2017;00h45;86;6.7;22.9;mesure;S1;0;0
01/07/2017;01h00;78;6.4;22.8;mesure;S1;0;0
01/07/2017;01h15;78;6.6;22.9;mesure;S1;0;0
01/07/2017;01h30;80;6.4;22.8;mesure;S1;0;0
01/07/2017;01h45;76;6.1;22.8;mesure;S1;0;0
01/07/2017;02h00;101;5.9;22.7;mesure;S1;0;0
01/07/2017;02h15;97;6.1;22.7;mesure;S1;0;0
01/07/2017;02h30;81;5.9;22.6;mesure;S1;0;0
01/07/2017;02h45;83;5.9;22.5;mesure;S1;0;0
01/07/2017;03h00;88;4.9;22.4;mesure;S1;0;0
01/07/2017;03h15;85;5.4;22.6;mesure;S1;0;0
01/07/2017;03h30;78;5;22.6;mesure;S1;0;0
01/07/2017;03h45;85;4.2;22.5;mesure;S1;0;0
01/07/2017;04h00;93;4.4;22.4;mesure;S1;0;0
01/07/2017;04h15;94;4;22.3;mesure;S1;0;0
01/07/2017;04h30;96;3.7;22.2;mesure;S1;0;0
01/07/2017;04h45;91;3.9;22.2;mesure;S1;0;0
01/07/2017;05h00;95;3.9;22.1;mesure;S1;0;0
01/07/2017;05h15;105;3.5;22;mesure;S2;0;0
01/07/2017;05h30;102;3.6;21.7;mesure;S2;0;0
01/07/2017;05h45;102;3.7;21.5;mesure;S2;3;0
01/07/2017;06h00;99;3.7;21.5;mesure;S1;10;0
01/07/2017;06h15;102;3.8;21.6;mesure;S2;25;0
01/07/2017;06h30;86;3.9;21.9;mesure;S1;40;0
01/07/2017;06h45;95;4.9;22.1;mesure;S1;73;0
01/07/2017;07h00;94;5;22.5;mesure;S1;114;0
01/07/2017;07h15;107;5.6;23;mesure;S1;157;0
01/07/2017;07h30;106;5.1;23.6;mesure;S1;215;0
01/07/2017;07h45;101;5.2;24.2;mesure;S1;268;0
01/07/2017;08h00;98;5.9;24.7;mesure;S1;323;0
01/07/2017;08h15;114;7.8;25.2;mesure;S1;361;0
01/07/2017;08h30;92;7.4;25.7;mesure;S1;403;0
01/07/2017;08h45;92;8.4;26.1;mesure;S1;380;0
01/07/2017;09h00;86;8.7;26.4;mesure;S1;498;0
01/07/2017;09h15;89;8.3;26.9;mesure;S1;513;0
01/07/2017;09h30;97;7.8;27.3;mesure;S1;547;0
01/07/2017;09h45;89;8.9;27.3;mesure;S1;590;0
01/07/2017;10h00;79;7.8;27.8;mesure;S1;620;0
01/07/2017;10h15;74;7.7;28.2;mesure;S1;653;0
01/07/2017;10h30;95;8.4;28.6;mesure;S1;684;0
01/07/2017;10h45;79;7.8;29.1;mesure;S1;713;0
01/07/2017;11h00;77;8;29.2;mesure;S1;738;0
01/07/2017;11h15;73;7.3;29.7;mesure;S1;755;0
01/07/2017;11h30;85;6.6;30.6;mesure;S1;778;0
01/07/2017;11h45;89;6.6;30.9;mesure;S1;795;0
01/07/2017;12h00;76;7.1;31.3;mesure;S1;807;0.8
01/07/2017;12h15;74;5.9;31.5;mesure;S1;816;0
01/07/2017;12h30;74;7.2;31.9;mesure;S1;826;0
01/07/2017;12h45;56;6.7;32.1;mesure;S1;820;0
01/07/2017;13h00;54;5.9;32.3;mesure;S1;809;0
01/07/2017;13h15;41;6.5;32.4;mesure;S1;813;0
01/07/2017;13h30;30;7.1;32.3;mesure;S1;809;0
01/07/2017;13h45;28;8;31.9;mesure;S1;801;0
01/07/2017;14h00;35;7.3;31.7;mesure;S1;789;0.8
01/07/2017;14h15;26;7.7;31.8;mesure;S1;775;0
01/07/2017;14h30;33;8;31.9;mesure;S1;755;0
01/07/2017;14h45;27;7.9;32;mesure;S1;731;0
01/07/2017;15h00;12;8.2;31.9;mesure;S1;711;0
01/07/2017;15h15;40;7.3;31.9;mesure;S1;680;0
01/07/2017;15h30;62;6.8;32.1;mesure;S1;653;0
01/07/2017;15h45;26;8.1;31.8;mesure;S1;624;0
01/07/2017;16h00;20;8.1;31.8;mesure;S1;589;0
01/07/2017;16h15;36;8.6;31.5;mesure;S1;552;0
01/07/2017;16h30;23;8.4;31.5;mesure;S1;515;0
01/07/2017;16h45;52;7.7;31.4;mesure;S1;479;0
01/07/2017;17h00;36;9.1;30.9;mesure;S1;439;0
01/07/2017;17h15;34;8.3;30.7;mesure;S1;400;0
01/07/2017;17h30;46;7.9;30.4;mesure;S1;358;0
01/07/2017;17h45;77;7.4;30.2;mesure;S1;317;0
01/07/2017;18h00;50;7.7;30;mesure;S1;276;0
01/07/2017;18h15;57;7.2;29.7;mesure;S1;230;0
01/07/2017;18h30;36;7.5;29.1;mesure;S1;176;0
01/07/2017;18h45;60;7.1;28.7;mesure;S1;128;0
01/07/2017;19h00;51;7.4;28.4;mesure;S1;85;0
01/07/2017;19h15;48;7.1;27.9;mesure;S1;50;0
01/07/2017;19h30;54;6.4;27.5;mesure;S1;28;0
01/07/2017;19h45;59;6.3;27.2;mesure;S1;13;0
01/07/2017;20h00;79;5.4;26.9;mesure;S1;5;1.6
01/07/2017;20h15;76;6.2;26.6;mesure;S1;1;0
01/07/2017;20h30;68;6.5;26.4;mesure;S1;0;0
01/07/2017;20h45;101;6.4;26.2;mesure;S1;0;0
01/07/2017;21h00;79;6.4;25.9;mesure;S1;0;0
01/07/2017;21h15;77;6.8;25.9;mesure;S1;0;0
01/07/2017;21h30;82;6.8;25.8;mesure;S1;0;0
01/07/2017;21h45;86;7;25.8;mesure;S1;0;0
01/07/2017;22h00;86;7.4;25.9;mesure;S1;0;0
01/07/2017;22h15;78;7;25.8;mesure;S1;0;0
01/07/2017;22h30;85;5.8;25.6;mesure;S1;0;0
01/07/2017;22h45;82;6.2;25.5;mesure;S1;0;0
01/07/2017;23h00;85;5.9;25.4;mesure;S1;0;0
01/07/2017;23h15;75;5.7;25.2;mesure;S1;0;0
01/07/2017;23h30;88;5.6;25.1;mesure;S1;0;0
01/07/2017;23h45;80;5.7;25;mesure;S1;0;0
02/07/2017;00h00;72;6;24.9;mesure;S1;0;0
02/07/2017;00h15;84;5.5;24.7;mesure;S1;0;0
02/07/2017;00h30;81;5.2;24.6;mesure;S1;0;0
