day;hour;wind_dir;speed;temp;details;scenario;radiation;precip
01/07/2015;00h00;38;2.6;20.7;mesure;S1;0;0
01/07/2015;00h15;44;2;20.7;mesure;S1;0;0
01/07/2015;00h30;357;1.8;20.7;mesure;S1;0;0
01/07/2015;00h45;336;2.5;20.8;mesure;S1;0;0
01/07/2015;01h00;330;2.9;20.7;mesure;S1;0;0
01/07/2015;01h15;317;3;20.5;mesure;S1;0;0
01/07/2015;01h30;335;2.7;20.3;mesure;S1;0;0
01/07/2015;01h45;333;3;20.5;mesure;S1;0;0
01/07/2015;02h00;342;2.3;20.6;mesure;S1;0;0
01/07/2015;02h15;3;1.9;20.6;mesure;S1;0;0
01/07/2015;02h30;15;1.8;20.7;mesure;S1;0;0
01/07/2015;02h45;288;0.4;20.8;mesure;S4;0;0
01/07/2015;03h00;347;2.5;20.8;mesure;S1;0;0
01/07/2015;03h15;24;1.8;20.9;mesure;S1;0;0
01/07/2015;03h30;50;2.6;20.9;mesure;S1;0;0
01/07/2015;03h45;43;1.8;20.8;mesure;S1;0;0
01/07/2015;04h00;41;3.1;20.8;mesure;S1;0;0
01/07/2015;04h15;66;2.2;20.8;mesure;S1;0;0
01/07/2015;04h30;75;2.9;20.8;mesure;S1;0;0
01/07/2015;04h45;65;2.3;20.8;mesure;S1;0;0
01/07/2015;05h00;71;2.6;20.5;mesure;S1;0;0
01/07/2015;05h15;53;1.8;20.3;mesure;S1;0;0
01/07/2015;05h30;66;1.8;20.3;mesure;S1;0;0
01/07/2015;05h45;76;1.8;20.2;mesure;S1;3;0
01/07/2015;06h00;34;1;20.1;mesure;S2;12;0
01/07/2015;06h15;278;0.1;20.2;mesure;S4;18;0
01/07/2015;06h30;5;1.3;20.4;mesure;S1;28;0
01/07/2015;06h45;17;1;20.7;mesure;S2;43;0
01/07/2015;07h00;64;1.5;20.9;mesure;S1;64;0
01/07/2015;07h15;104;0.8;21;mesure;S2;100;0
01/07/2015;07h30;319;1.8;21.2;mesure;S1;127;0
01/07/2015;07h45;12;1.3;21.5;mesure;S1;152;0
01/07/2015;08h00;35;0.5;22.4;mesure;S2;294;0
01/07/2015;08h15;300;3.6;21.7;mesure;S1;134;0
01/07/2015;08h30;292;4.6;21.5;mesure;S1;327;0
01/07/2015;08h45;301;5.3;21.5;mesure;S1;375;0
01/07/2015;09h00;303;5.6;21.7;mesure;S1;418;0
01/07/2015;09h15;300;5.4;21.9;mesure;S1;444;0
01/07/2015;09h30;302;5.8;22;mesure;S1;486;0
01/07/2015;09h45;295;5.9;21.9;mesure;S1;520;0
01/07/2015;10h00;304;5.4;22.4;mesure;S1;554;0
01/07/2015;10h15;294;6.5;22.7;mesure;S1;588;0
01/07/2015;10h30;283;6.7;22.5;mesure;S1;612;0
01/07/2015;10h45;292;6.7;22.7;mesure;S1;642;0
01/07/2015;11h00;288;6.9;22.8;mesure;S1;670;0
01/07/2015;11h15;282;7.1;22.9;mesure;S1;692;0
01/07/2015;11h30;302;7.6;23;mesure;S1;714;0
01/07/2015;11h45;301;6.8;23.2;mesure;S1;730;0
01/07/2015;12h00;311;7.6;22.8;mesure;S1;744;2
01/07/2015;12h15;296;6.6;23.5;mesure;S1;753;0
01/07/2015;12h30;292;7.4;23.4;mesure;S1;762;0
01/07/2015;12h45;311;8.3;23.1;mesure;S1;769;0
01/07/2015;13h00;314;8.2;23;mesure;S1;770;0
01/07/2015;13h15;321;6.8;23.9;mesure;S1;762;0
01/07/2015;13h30;308;8.8;23.2;mesure;S1;759;0
01/07/2015;13h45;299;9.1;22.9;mesure;S1;749;0
01/07/2015;14h00;305;9.5;22.9;mesure;S1;736;0
01/07/2015;14h15;300;9;23;mesure;S1;720;0
01/07/2015;14h30;302;8.9;23.1;mesure;S1;702;0
01/07/2015;14h45;302;8;23.4;mesure;S1;679;0
01/07/2015;15h00;306;7.8;23.7;mesure;S1;654;0
01/07/2015;15h15;305;7.3;24.1;mesure;S1;628;0
01/07/2015;15h30;318;7.6;23.6;mesure;S1;598;0
01/07/2015;15h45;304;7.1;24.1;mesure;S1;570;0
01/07/2015;16h00;321;7.7;23.9;mesure;S1;534;0
01/07/2015;16h15;331;7;24.4;mesure;S1;500;0
