cos_wind_dir,f_period,datetime,present_time,sin_wind_dir,pred_speed,pred_wind_dir,real_speed,real_wind_dir,numtech_speed,numtech_wind_dir
0.14398667216300964,1.0,2020-07-07 09:00:00,2020-07-07 08:00:00,0.8107965588569641,4.481313705444336,81.7213959725494,2.0816666666666657,74.55304042569979,1.0,54.0
0.1074388325214386,2.0,2020-07-07 10:00:00,2020-07-07 08:00:00,0.8092352747917175,2.6677088737487793,83.83230357578643,3.181666666666667,75.00977112315503,1.4,57.0
0.07869413495063782,3.0,2020-07-07 11:00:00,2020-07-07 08:00:00,0.19138309359550476,2.1855759620666504,85.48649147718014,2.9099999999999997,83.66911142327861,1.1,35.0
0.0326770544052124,4.0,2020-07-07 12:00:00,2020-07-07 08:00:00,-0.4142765402793884,1.4439053535461426,271.87259066077763,2.6066666666666665,263.1642130957662,1.3,338.99999999999994
0.5380579829216003,5.0,2020-07-07 13:00:00,2020-07-07 08:00:00,-0.37421268224716187,3.0936057567596436,302.55153493233644,3.9583333333333335,231.63749008477086,3.2,320.0
0.4319324791431427,6.0,2020-07-07 14:00:00,2020-07-07 08:00:00,-0.4118831753730774,3.419602632522583,295.5902627740136,5.153333333333333,236.44905366041587,3.3,333.0
0.4186595678329468,7.0,2020-07-07 15:00:00,2020-07-07 08:00:00,-0.5433440208435059,2.344937801361084,294.7499892931529,4.6866666666666665,230.2007518054012,3.3,340.0
0.6239292621612549,8.0,2020-07-07 16:00:00,2020-07-07 08:00:00,-0.2799028754234314,4.835490703582764,308.60364122638686,4.035000000000001,235.9822228878176,4.5,343.99999999999994
0.7126189470291138,9.0,2020-07-07 17:00:00,2020-07-07 08:00:00,-0.23243290185928345,4.049626350402832,315.44840153824595,3.9999999999999987,231.6563669895284,4.1,356.00000000000006
0.36178505420684814,10.0,2020-07-07 18:00:00,2020-07-07 08:00:00,-0.40589797496795654,2.7044332027435303,291.20986285026817,3.8466666666666667,237.4674567807807,3.2,3.000000000000045
0.3250827193260193,11.0,2020-07-07 19:00:00,2020-07-07 08:00:00,-0.5242198705673218,2.337428092956543,288.9705865879414,4.395,227.86324632113153,1.9,353.0
-0.216427743434906,12.0,2020-07-07 20:00:00,2020-07-07 08:00:00,-0.6748863458633423,1.5289547443389893,257.5006966420146,3.5333333333333354,234.59769435827297,0.8,345.0
0.009605109691619873,13.0,2020-07-07 21:00:00,2020-07-07 08:00:00,-0.5666072368621826,2.393993854522705,270.5503407095456,3.2183333333333333,242.75813274319063,0.5,64.0
-0.5518335103988647,14.0,2020-07-07 22:00:00,2020-07-07 08:00:00,-0.2561842203140259,1.6372606754302979,236.5071094054166,1.9016666666666675,237.5317031385273,0.3,34.0
-0.48830753564834595,15.0,2020-07-07 23:00:00,2020-07-07 08:00:00,-0.4036106467247009,4.403733253479004,240.77059861837364,1.825,246.6777663176316,1.4,311.0
0.10270807147026062,16.0,2020-07-08 00:00:00,2020-07-07 08:00:00,-0.35660451650619507,3.006584882736206,275.8951347428924,1.1233333333333326,249.87776322588428,2.0,10.000000000000012
-0.18037116527557373,17.0,2020-07-08 01:00:00,2020-07-07 08:00:00,0.10284149646759033,5.498137950897217,100.39137987299796,0.94,242.8963463268883,1.0,340.99999999999994
-0.56647789478302,18.0,2020-07-08 02:00:00,2020-07-07 08:00:00,-0.3093336224555969,2.720018148422241,235.49501797711486,0.975,230.73546105879797,1.0,338.0
0.5251098871231079,19.0,2020-07-08 03:00:00,2020-07-07 08:00:00,0.07445269823074341,4.07508659362793,58.32435890524239,0.7966666666666669,272.0949744869211,2.3,7.000000000000025
0.38817423582077026,20.0,2020-07-08 04:00:00,2020-07-07 08:00:00,0.7301297783851624,4.5042195320129395,67.1590573710322,0.6766666666666665,98.48856703689212,3.4,27.0
0.2802249789237976,21.0,2020-07-08 05:00:00,2020-07-07 08:00:00,0.8501782417297363,6.323646545410156,73.72636739220081,2.9550000000000005,85.30458463839409,3.7,41.0
0.2818795442581177,22.0,2020-07-08 06:00:00,2020-07-07 08:00:00,0.8608128428459167,4.561486721038818,73.62758613793234,1.5433333333333341,61.54413733597036,3.5,52.00000000000001
0.2833038866519928,23.0,2020-07-08 07:00:00,2020-07-07 08:00:00,0.9002010822296143,4.495919227600098,73.54250962627498,2.2383333333333337,60.49685181548629,3.2,57.0
0.4309759736061096,24.0,2020-07-08 08:00:00,2020-07-07 08:00:00,0.7654263973236084,3.9325788021087646,64.47048616604629,2.6350000000000007,57.873149602116285,2.8,55.0
0.4203033149242401,25.0,2020-07-08 09:00:00,2020-07-07 08:00:00,0.8639472723007202,3.396561622619629,65.14626149324744,3.7416666666666663,47.35987184276472,2.5,41.0
0.5542813539505005,26.0,2020-07-08 10:00:00,2020-07-07 08:00:00,-0.259166419506073,3.492274045944214,303.6612304828136,3.9916666666666667,54.570431987077406,3.0,12.999999999999996
0.5691077709197998,27.0,2020-07-08 11:00:00,2020-07-07 08:00:00,0.02974879741668701,3.6925721168518066,55.31196868423932,3.5199999999999987,316.2982425993734,3.4,4.999999999999992
0.6401313543319702,28.0,2020-07-08 12:00:00,2020-07-07 08:00:00,-0.41708898544311523,5.734703063964844,309.80161495837257,6.170000000000001,319.10692673936416,4.3,356.00000000000006
0.9191270470619202,29.0,2020-07-08 13:00:00,2020-07-07 08:00:00,-0.3271549940109253,5.650612831115723,336.7987939947434,5.4766666666666675,317.6879189214542,5.3,352.0
0.7287935018539429,30.0,2020-07-08 14:00:00,2020-07-07 08:00:00,-0.5299524068832397,6.217165946960449,316.7853441939491,5.1466666666666665,309.93228227195425,6.2,352.0
